condition           , n  , head_accuracy_pct, zero_shot_accuracy_pct, prediction_agreement_pct, decision_agreement_pct, both_correct, head_only_correct, zero_shot_only_correct, both_wrong
baseline            , 500, 97.79999852180481,      96.79999947547913,        97.79999852180481,                       ,          481,                 8,                      3,          8
grey_scale          , 500, 95.39999961853027,      94.40000057220459,        95.80000042915344,                       ,          465,                12,                      7,         16
hue                 , 500, 97.79999852180481,      95.80000042915344,        97.60000109672546,                       ,          478,                11,                      1,         10
patch_shuffle       , 500, 83.99999737739563,      83.99999737739563,        88.20000290870667,                       ,          398,                22,                     22,         58
translation_right_8 , 500, 97.60000109672546,      95.39999961853027,        95.39999961853027,                       ,          471,                17,                      6,          6
translation_left_8  , 500, 97.60000109672546,      94.59999799728394,        96.60000205039978,                       ,          472,                16,                      1,         11
translation_down_8  , 500, 97.39999771118164,      95.99999785423279,        96.79999947547913,                       ,          476,                11,                      4,          9
translation_up_8    , 500, 98.00000190734863,      96.79999947547913,        97.2000002861023 ,                       ,          480,                10,                      4,          6
translation_right_16, 500, 97.79999852180481,      94.9999988079071 ,        95.99999785423279,                       ,          472,                17,                      3,          8
translation_left_16 , 500, 97.00000286102295,      94.40000057220459,        95.80000042915344,                       ,          468,                17,                      4,         11
translation_down_16 , 500, 97.60000109672546,      95.59999704360962,        96.39999866485596,                       ,          474,                14,                      4,          8
translation_up_16   , 500, 97.2000002861023 ,      95.80000042915344,        96.60000205039978,                       ,          474,                12,                      5,          9
translation_right_32, 500, 97.2000002861023 ,      94.9999988079071 ,        95.80000042915344,                       ,          471,                15,                      4,         10
translation_left_32 , 500, 97.00000286102295,      95.20000219345093,        96.20000123977661,                       ,          471,                14,                      5,         10
translation_down_32 , 500, 96.60000205039978,      94.9999988079071 ,        96.79999947547913,                       ,          472,                11,                      3,         14
translation_up_32   , 500, 97.60000109672546,      95.99999785423279,        96.20000123977661,                       ,          475,                13,                      5,          7
cue_conflict        , 200,                  ,                       ,        87.99999952316284,                   89.0,             ,                  ,                       ,           
