method                 , condition           , sample_id           , label, cosine              , clean_prediction, transformed_prediction, prediction_unchanged, clean_correct, transformed_correct
resnet50               , grey_scale          , 2937                ,     0, 0.9346958994865417  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 2210                ,     0, 0.800524115562439   ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 4533                ,     0, 0.7578442692756653  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 5067                ,     0, 0.9994550347328186  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 3488                ,     0, 0.6616274118423462  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 808                 ,     0, 0.6939008235931396  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 298                 ,     0, 0.8061807751655579  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 6817                ,     0, 0.8919112682342529  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 597                 ,     0, 0.7715321183204651  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 339                 ,     0, 0.8009902238845825  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 241                 ,     0, 0.8669825792312622  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 6420                ,     0, 0.8303561806678772  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 422                 ,     0, 0.7324573397636414  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 7782                ,     0, 0.8630611300468445  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 7869                ,     0, 0.9171584844589233  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 5999                ,     0, 0.7809892892837524  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 7975                ,     0, 0.8777831196784973  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 7101                ,     0, 0.9006096124649048  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 6762                ,     0, 0.753706693649292   ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 3999                ,     0, 0.8296751379966736  ,                9,                      0, False               , False        , True
resnet50               , grey_scale          , 5255                ,     0, 0.8298623561859131  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 5276                ,     0, 0.6683606505393982  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 7165                ,     0, 0.9443759918212891  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 5624                ,     0, 0.8603209853172302  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 480                 ,     0, 0.9213764667510986  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 4819                ,     0, 0.7802037000656128  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 7334                ,     0, 0.8884081840515137  ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 6065                ,     0, 0.901936948299408   ,                0,                      0, True                , True         , True
resnet50               , grey_scale          , 5785                ,     0, 0.8539959788322449  ,                0,                      0, True                , True         , True
